id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5i2sgqnzaxYpvXmGAB592h,0.957,0.524,0.108,0.00123,0.139,-18.361,0.0493,127.982,0.322
4mGzm5ahHxMX5IhVWbU7cl,0.953,0.48,0.0322,3.78e-06,0.098,-23.781,0.0604,121.766,0.172
4DEn3hZzSs9MFwFNDla5Y5,0.989,0.394,0.15,0.908,0.342,-21.133,0.0353,97.738,0.17
5P6vo51dtkBYWXswH1twvK,0.174,0.461,0.773,0.702,0.692,-10.316,0.147,130.109,0.488
29TZQMVLv25CBm3bYn2EIQ,0.436,0.452,0.501,0.9,0.11,-13.149,0.0329,111.203,0.602
4cUgsvo0xRu0JQXIhxcXkZ,0.822,0.615,0.594,0.861,0.106,-11.719,0.234,86.657,0.586
6gkIIBgZx2661g01Nz5Qtr,0.652,0.324,0.203,0.00109,0.106,-12.948,0.0397,207.423,0.198
2uwWxQaPESir0zpeVcHRvC,0.0773,0.701,0.513,0.881,0.113,-14.369,0.034,90.886,0.74
57FfMOh9wOQ7IDDK2tmigg,0.734,0.501,0.303,0.000123,0.139,-10.722,0.0367,130.031,0.537
5P7QtBWllP1CQno3Bi834D,0.72,0.477,0.654,0.345,0.103,-17.456,0.0435,143.789,0.617
6bZf2VcN25Hu7jcLNkc5NC,0.8,0.162,0.129,0.00247,0.106,-19.644,0.0356,81.561,0.0832
3qQVUOHJdgIFWJd0jrG9GE,0.109,0.739,0.882,0.684,0.0185,-11.946,0.0539,98.424,0.941
6dZKWYSx5YBIme4SfpIHJ0,0.854,0.645,0.398,0.306,0.0731,-12.208,0.11,82.768,0.705
54zMkQWwYLKTAx2qIkl45X,0.912,0.21,0.308,0.906,0.137,-12.186,0.0374,129.101,0.0895
0U070HY5rBmCyh4SIWHrgN,0.976,0.448,0.0248,0.936,0.116,-27.715,0.0444,112.289,0.064
7JtcCde09fsajDNHmPFrX7,0.951,0.637,0.247,0.799,0.0807,-16.553,0.0393,103.006,0.584
56IF1gMvIEOQeSCWoMT7hx,0.645,0.43,0.174,0.00348,0.245,-16.976,0.1,80.926,0.291
3kOW7LYkOXJ9qE05TlKVc3,0.517,0.672,0.648,0.893,0.274,-7.934,0.027,107.498,0.921
7MrXwqdwwU57JqIOGtTbRe,0.282,0.641,0.471,0.139,0.0854,-11.82,0.0331,101.384,0.578
4LInRUJ6XN1TVnoRVAFcdB,0.15,0.629,0.156,0.0015,0.193,-18.527,0.0435,62.515,0.107
7IPEQ3ScOp9cAd3dC7JvDn,0.625,0.488,0.675,4.71e-06,0.121,-11.261,0.0651,136.224,0.718
0TYaiwJB9eLNew2VYxF6i8,0.107,0.539,0.626,0.711,0.119,-9.514,0.0467,84.956,0.375
1gHdnVaBNakuVxPY16Mx6a,0.502,0.376,0.592,1.2e-06,0.359,-13.374,0.0628,124.804,0.533
70Va8NA2Ies98TNa1XuNbl,0.806,0.533,0.434,0.907,0.102,-19.235,0.0301,107.892,0.739
21WlpZiXLelHjdoMUhHfrm,0.819,0.351,0.209,0.914,0.102,-23.533,0.0361,159.504,0.448
14FkDSrkQPko4YMhx6dLI2,0.185,0.576,0.422,0.244,0.264,-11.277,0.0594,115.478,0.57
44MyZZa2SPW0BO9XcmlU9F,0.564,0.617,0.618,0.019,0.292,-11.767,0.0339,98.924,0.849
354gNwpjlW9QKsMPLWdMv5,0.992,0.545,0.0442,0.874,0.126,-14.903,0.0382,100.229,0.34
6f6OQJv9qjqyJq9NHin45n,0.623,0.47,0.156,0.187,0.104,-17.036,0.0399,118.176,0.059
5bV5aNKjf4YelnJQHJ5PEI,0.785,0.534,0.279,0.0,0.102,-13.868,0.0926,129.002,0.539
58FidACtoULbcXLmT7hvU8,0.929,0.184,0.236,2.01e-06,0.0946,-12.875,0.0353,174.823,0.0881
4PqiyUZuSwlssWRQPRkrFh,0.929,0.37,0.104,0.908,0.144,-21.112,0.0364,78.729,0.134
3CDHydgW0ssTh59f0jy1y3,0.699,0.58,0.299,0.00386,0.0805,-13.03,0.0269,93.037,0.364
4fKbuhnNdYd9L0NTKECcJ5,0.951,0.47,0.244,0.0509,0.109,-13.608,0.0335,108.154,0.264
0DTK1wka31c9Iam2OywdKg,0.932,0.759,0.417,0.796,0.193,-10.368,0.0561,96.733,0.856
2zSyp2dLQOoRjC4xUP6I7M,0.204,0.48,0.598,0.0178,0.23,-11.922,0.172,98.914,0.792
2hspCATOKb9llyIeMik89G,0.0336,0.561,0.647,0.872,0.0741,-8.578,0.0559,157.626,0.936
08mNpIgvFDORGhekbe0n7A,0.989,0.72,0.333,0.742,0.434,-14.227,0.0493,99.639,0.912
6JWOLYMYthEM6uXO5xlW6k,0.759,0.365,0.337,0.415,0.0919,-12.591,0.0346,110.21,0.141
2yUwuEwgS6WyIf2YanF8Ax,0.986,0.58,0.0242,0.0778,0.107,-19.099,0.0674,129.722,0.178
0rsmlyJFeb3qiGxmD3jjEw,0.743,0.696,0.728,0.0537,0.0835,-6.937,0.034,124.092,0.963
4G3EKvGtqcUSZqPQIWJFxd,0.905,0.42,0.0802,0.857,0.135,-21.795,0.04,122.041,0.0541
3qQIq27L2KkSMH99rrNl2N,0.979,0.42,0.119,0.91,0.0991,-21.684,0.0455,90.127,0.19
7ysmJhXFQtiBQlk6EZ6sks,0.946,0.505,0.159,0.0127,0.212,-11.235,0.0336,59.385,0.196
7hK9jnESeCfc5fIHH76jKh,0.75,0.488,0.297,0.535,0.129,-17.101,0.0321,65.04,0.552
1pjATX7sbd6Y4jMVqIvzHk,0.868,0.258,0.139,0.00149,0.1,-13.522,0.0317,77.995,0.139
2PzI5zpqHHEbb1czdNUXSm,0.142,0.499,0.447,0.304,0.228,-11.481,0.0402,124.443,0.397
0PEgaatOV2ivOoBuIRWhgU,0.868,0.492,0.388,0.171,0.115,-13.544,0.0335,104.198,0.62
1UhJzLDFPPUXqC1bmNIlc0,0.951,0.608,0.208,0.0,0.131,-11.824,0.0316,70.9,0.239
50k2js6trDCX2iV0KsIBGx,0.977,0.365,0.115,0.0,0.1,-15.424,0.0422,68.094,0.259
6aQXP6ql5ko2Zipv3qIv1o,0.757,0.604,0.395,0.0,0.234,-13.536,0.146,85.856,0.356
4FbyGU4nbHHioKAoCpYRzH,0.966,0.508,0.124,0.78,0.12,-16.525,0.05,68.761,0.361
0bv5vUJCvXM9G0cbjeikyY,0.828,0.714,0.367,0.399,0.112,-12.855,0.0328,107.318,0.633
3cYHFvUYDVY9loQQ0LalJc,0.815,0.584,0.387,0.182,0.112,-12.666,0.0397,113.257,0.443
1jjC4VuQ3vVS8Qw19BMksE,0.821,0.466,0.441,0.901,0.58,-10.881,0.0415,79.819,0.58
5AuLuhe6LXvVod82HxJtXO,0.959,0.383,0.173,0.908,0.112,-11.969,0.0306,77.945,0.0709
1eBwxDeN0OjfRGcFSE0YxY,0.876,0.385,0.31,0.942,0.127,-17.769,0.0351,105.816,0.378
6DH9qxj2GJi0lU2Y5FDHky,0.0634,0.41,0.761,0.532,0.0994,-8.036,0.111,155.267,0.418
6F9gHI5glK7oI9ebGYtcb5,0.619,0.681,0.384,0.0,0.373,-10.817,0.0474,157.962,0.961
5Si2mbeT6nL3ysCIVsYu4R,0.451,0.759,0.638,5.34e-06,0.274,-10.211,0.0333,149.435,0.961
09JSmxCUJrjBE0dVXurHT2,0.966,0.54,0.0671,0.779,0.101,-18.633,0.0397,84.192,0.316
46QlGPMuZ1FHgrIjHLx8o9,0.458,0.71,0.299,1.33e-05,0.0547,-12.761,0.0628,109.313,0.705
7LHdSTKBYwB4GuiDwgsHri,0.907,0.152,0.0882,0.00371,0.107,-21.102,0.0336,65.923,0.121
0SiMlVdkAPr1UPgr89t6Nc,0.477,0.334,0.519,0.909,0.11,-8.152,0.0319,170.402,0.397
0vwTHK0RI01avuLIrAHp8C,0.938,0.586,0.139,0.93,0.103,-22.365,0.0381,125.886,0.197
5RWzKLxXVzkJQ702yWfp1w,0.457,0.518,0.159,0.0724,0.175,-16.645,0.06,63.841,0.351
0hY1lriPizkVAlt4XXx1pG,0.857,0.634,0.668,0.915,0.252,-10.344,0.0529,137.34,0.644
2nWHzbBWBOePUvAImQv2So,0.0317,0.878,0.951,0.544,0.0614,-5.077,0.069,111.334,0.607
1GAJG25Z6KsqrSw6Bm3u7y,0.974,0.612,0.0108,0.00305,0.292,-24.112,0.0601,94.636,0.428
5Jafpcu72SIeaOVk4Gboa2,0.994,0.447,0.439,0.923,0.127,-11.853,0.0908,83.382,0.223
58ylMBq2yqYdHyevarkNWa,0.907,0.524,0.222,0.00124,0.0544,-8.967,0.0346,120.71,0.325
6AAxndfN25URaM9zQJfWbU,0.967,0.574,0.0775,0.54,0.109,-17.753,0.0482,126.923,0.523
3MYojP082i6SdgmUxZWgMu,0.822,0.459,0.187,0.382,0.104,-15.31,0.0473,143.059,0.259
23aDP04QX8MAHA99FLaPtN,0.412,0.467,0.316,0.000351,0.094,-12.072,0.0297,81.013,0.252
79fXdfpOPGaXO1gfdq2onl,0.978,0.507,0.0677,2.74e-05,0.132,-13.766,0.0406,105.393,0.355
5wRlH3diPDfn9jv91hxkUy,0.93,0.336,0.328,0.732,0.111,-15.005,0.0386,184.007,0.222
4hHbeIIKO5Y5uLyIEbY9Gn,0.845,0.574,0.338,0.0,0.165,-11.376,0.042,67.008,0.493
2YQD4iZibMN2lwy7OfAaDe,0.178,0.558,0.789,0.0129,0.794,-13.697,0.229,132.926,0.58
4Tq2fWpX1nLCkMSOPkYb1Y,0.827,0.614,0.233,0.198,0.13,-18.964,0.0568,126.256,0.448
7dQKp25fu61q8xqxPBm17O,0.799,0.559,0.129,2.05e-06,0.111,-19.489,0.0677,123.377,0.347
7DUGRxCf9NFJffb5Eei8Ar,0.913,0.493,0.0421,0.173,0.0777,-18.071,0.0347,102.074,0.172
0wvbb2MxlokwqSvbeoOOHv,0.993,0.511,0.00211,0.982,0.113,-24.812,0.195,107.949,0.255
